ship_mode,segment,region,category,quantity,discount,shipping_cost,order_priority,return
Standard Class,Consumer,EMEA,Technology,2,0.0,6.87,Medium,
First Class,Consumer,Canada,Office Supplies,1,0.0,6.7,High,
Standard Class,Home Office,Central,Office Supplies,3,0.2,1.94,High,
First Class,Consumer,Oceania,Technology,2,0.1,55.67,High,
Same Day,Home Office,EMEA,Office Supplies,2,0.0,19.52,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,2,0.27,15.01,Medium,
Standard Class,Consumer,Central,Furniture,3,0.3,32.7,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,9,0.47,14.58,Medium,
Standard Class,Corporate,Africa,Office Supplies,1,0.7,0.79,Medium,
First Class,Consumer,Canada,Furniture,4,0.0,65.81,High,
Standard Class,Consumer,South,Office Supplies,2,0.0,0.97,Medium,
First Class,Consumer,Canada,Office Supplies,1,0.0,3.1,High,
Standard Class,Consumer,EMEA,Technology,2,0.0,42.88,Medium,
Standard Class,Consumer,EMEA,Office Supplies,6,0.0,3.73,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,1.14,Medium,
Standard Class,Consumer,Central,Furniture,6,0.6,7.38,Medium,
Standard Class,Consumer,Oceania,Technology,1,0.4,13.96,High,
Standard Class,Corporate,North,Furniture,5,0.0,64.4,High,
Same Day,Home Office,EMEA,Furniture,2,0.0,24.42,Medium,
Standard Class,Corporate,North,Office Supplies,4,0.0,25.39,High,
Second Class,Home Office,Central,Office Supplies,12,0.0,3.35,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.2,8.0,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.2,8.22,High,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,0.81,Medium,
Standard Class,Corporate,Central,Technology,2,0.1,14.22,Medium,
Standard Class,Home Office,Central,Furniture,6,0.3,70.05,High,
Standard Class,Consumer,Central,Office Supplies,3,0.2,11.43,High,
Standard Class,Consumer,EMEA,Technology,6,0.0,146.55,Medium,
Standard Class,Consumer,Oceania,Office Supplies,6,0.1,1.02,Medium,
First Class,Consumer,Canada,Office Supplies,4,0.0,164.36,High,
Standard Class,Consumer,Central,Office Supplies,3,0.2,8.49,Medium,
Standard Class,Consumer,EMEA,Furniture,1,0.0,12.33,Medium,
First Class,Consumer,Canada,Office Supplies,1,0.0,2.24,High,
Second Class,Home Office,Central,Technology,1,0.0,6.09,Medium,
Second Class,Home Office,Central,Office Supplies,2,0.1,3.3,Medium,
Same Day,Home Office,EMEA,Office Supplies,2,0.0,8.42,Medium,
Second Class,Consumer,West,Furniture,2,0.2,47.89,Medium,
First Class,Consumer,Oceania,Office Supplies,1,0.1,5.44,High,
Standard Class,Consumer,EMEA,Technology,1,0.0,16.22,Medium,
First Class,Consumer,Oceania,Office Supplies,2,0.1,1.05,High,
Standard Class,Consumer,EMEA,Office Supplies,6,0.0,60.78,Medium,
Standard Class,Consumer,Oceania,Office Supplies,3,0.4,3.9,High,
Standard Class,Consumer,Central,Furniture,6,0.3,25.22,Medium,
First Class,Consumer,Canada,Technology,4,0.0,18.19,High,
Standard Class,Consumer,Central,Office Supplies,5,0.2,2.05,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.0,16.48,Low,
Second Class,Corporate,South,Office Supplies,3,0.4,0.32,Medium,Yes
Standard Class,Consumer,South,Technology,1,0.0,6.0,High,
Second Class,Corporate,South,Technology,2,0.4,20.4,Medium,Yes
Second Class,Corporate,South,Office Supplies,5,0.4,5.41,Medium,Yes
Standard Class,Consumer,South,Office Supplies,2,0.0,1.2,High,
Second Class,Consumer,West,Office Supplies,4,0.2,0.65,Medium,
Standard Class,Corporate,North Asia,Office Supplies,4,0.5,0.32,Medium,
First Class,Corporate,South,Technology,6,0.4,122.65,High,Yes
Second Class,Corporate,South,Technology,2,0.4,7.56,Medium,Yes
Second Class,Corporate,Central,Office Supplies,4,0.4,11.56,High,
Second Class,Corporate,South,Furniture,3,0.4,5.65,Medium,Yes
Second Class,Corporate,South,Furniture,2,0.4,3.66,Medium,Yes
Second Class,Consumer,West,Office Supplies,2,0.0,3.01,Medium,
Standard Class,Home Office,Southeast Asia,Office Supplies,2,0.45,2.99,High,Yes
Standard Class,Home Office,Southeast Asia,Office Supplies,2,0.15,17.47,High,Yes
First Class,Consumer,South,Technology,3,0.0,11.19,High,
Second Class,Corporate,South,Office Supplies,5,0.4,5.41,Medium,Yes
Standard Class,Corporate,East,Office Supplies,2,0.0,0.34,Medium,
First Class,Consumer,South,Office Supplies,3,0.0,21.83,High,
Standard Class,Consumer,South,Office Supplies,5,0.0,1.96,High,
First Class,Consumer,South,Office Supplies,6,0.0,71.22,High,
Standard Class,Corporate,North Asia,Office Supplies,5,0.5,3.05,Medium,
Standard Class,Corporate,North Asia,Furniture,5,0.2,49.7,Medium,
Second Class,Corporate,Central,Office Supplies,4,0.4,1.37,High,
Standard Class,Corporate,East,Office Supplies,4,0.0,1.57,Medium,
Same Day,Consumer,EMEA,Office Supplies,1,0.6,3.8,Critical,
Standard Class,Corporate,Central,Office Supplies,4,0.0,11.26,Medium,
Same Day,Consumer,EMEA,Office Supplies,4,0.6,3.99,Critical,
Standard Class,Corporate,North,Office Supplies,2,0.5,3.2,High,Yes
Second Class,Corporate,North,Technology,4,0.0,64.21,Medium,
First Class,Corporate,North,Technology,2,0.0,15.18,Critical,
Same Day,Home Office,North,Office Supplies,5,0.0,27.41,Critical,
Standard Class,Consumer,Central,Office Supplies,6,0.0,16.57,High,
Second Class,Corporate,North,Office Supplies,9,0.0,36.17,Medium,
Second Class,Home Office,Central,Office Supplies,5,0.0,120.84,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,0.68,High,
Second Class,Consumer,Africa,Office Supplies,2,0.0,1.56,Medium,
Standard Class,Corporate,Central,Office Supplies,5,0.1,5.8,Medium,
Standard Class,Corporate,North,Office Supplies,1,0.5,1.97,High,Yes
Second Class,Home Office,Central,Office Supplies,6,0.0,4.27,Medium,
Same Day,Consumer,EMEA,Office Supplies,2,0.6,17.97,Critical,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,6.03,High,
Second Class,Home Office,Central,Furniture,7,0.0,81.39,Medium,
Standard Class,Corporate,Central Asia,Office Supplies,5,0.0,4.18,Medium,
Standard Class,Consumer,EMEA,Technology,1,0.0,7.4,High,
Standard Class,Corporate,North,Furniture,5,0.5,141.5,High,Yes
Standard Class,Corporate,North,Technology,7,0.0,40.18,Medium,
Standard Class,Consumer,South,Furniture,6,0.0,2.68,High,
First Class,Home Office,Southeast Asia,Furniture,3,0.27,5.64,Medium,
Second Class,Consumer,Africa,Office Supplies,1,0.0,0.74,Medium,
First Class,Home Office,Southeast Asia,Furniture,8,0.27,202.94,Medium,
First Class,Home Office,South,Technology,2,0.0,34.93,High,
First Class,Consumer,Oceania,Office Supplies,2,0.4,10.37,Critical,
Standard Class,Home Office,East,Office Supplies,3,0.0,1.35,Medium,
Standard Class,Consumer,South,Technology,7,0.0,112.32,High,
Standard Class,Home Office,East,Office Supplies,6,0.0,14.33,Medium,
First Class,Corporate,North,Office Supplies,2,0.0,1.62,Medium,
Standard Class,Corporate,Central,Technology,2,0.15,23.66,High,
Standard Class,Home Office,South,Office Supplies,2,0.0,13.91,High,
Standard Class,Consumer,Central,Office Supplies,2,0.0,8.58,High,
Second Class,Corporate,North,Technology,14,0.0,80.12,Medium,
Same Day,Consumer,EMEA,Office Supplies,1,0.6,3.49,Critical,
Second Class,Home Office,Central,Office Supplies,4,0.0,2.51,Medium,
Second Class,Home Office,Central,Office Supplies,2,0.0,8.11,Medium,
Standard Class,Corporate,Central,Furniture,2,0.0,66.7,High,
First Class,Corporate,Central,Office Supplies,11,0.0,30.89,Critical,
Second Class,Home Office,North Asia,Furniture,2,0.3,91.18,High,Yes
First Class,Corporate,Africa,Furniture,2,0.7,10.35,Critical,
Standard Class,Corporate,South,Technology,2,0.2,93.1,High,Yes
First Class,Corporate,Africa,Office Supplies,2,0.7,1.19,Critical,
First Class,Corporate,Central,Office Supplies,2,0.0,16.06,Critical,
First Class,Corporate,Central,Furniture,4,0.0,30.14,Critical,
First Class,Consumer,North,Office Supplies,2,0.0,11.12,High,
Standard Class,Corporate,South,Office Supplies,6,0.7,0.69,High,Yes
Second Class,Corporate,West,Office Supplies,5,0.2,1.44,Medium,Yes
Second Class,Home Office,North Asia,Furniture,6,0.3,162.45,High,Yes
Standard Class,Consumer,Southeast Asia,Furniture,1,0.35,10.0,Medium,
First Class,Consumer,North Asia,Technology,3,0.0,133.56,High,
First Class,Consumer,West,Office Supplies,3,0.2,3.23,High,
Second Class,Corporate,Africa,Office Supplies,1,0.7,1.14,Critical,
Standard Class,Consumer,Central,Furniture,3,0.1,26.31,Low,
Standard Class,Consumer,Southeast Asia,Technology,4,0.45,7.42,Medium,
Standard Class,Corporate,South,Furniture,4,0.2,4.31,Medium,
Second Class,Corporate,Africa,Office Supplies,2,0.7,11.29,Critical,
Standard Class,Corporate,South,Office Supplies,1,0.2,5.62,Medium,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,2.39,High,
Standard Class,Consumer,EMEA,Office Supplies,6,0.0,9.99,Medium,
Standard Class,Corporate,South,Office Supplies,2,0.2,7.09,Medium,
Second Class,Home Office,Central,Technology,5,0.0,25.25,High,
Second Class,Home Office,Central,Office Supplies,7,0.0,11.28,High,
Second Class,Corporate,Africa,Office Supplies,1,0.7,8.04,Critical,
Standard Class,Corporate,South,Office Supplies,3,0.2,0.93,Medium,
Standard Class,Consumer,EMEA,Office Supplies,4,0.0,24.81,High,
Standard Class,Home Office,East,Office Supplies,2,0.2,0.77,High,
Second Class,Home Office,Central,Office Supplies,2,0.1,15.5,High,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,1.26,Medium,
Standard Class,Consumer,Africa,Furniture,2,0.0,69.1,Medium,
Standard Class,Consumer,EMEA,Furniture,2,0.0,7.64,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.45,1.94,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,1.08,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.6,0.72,High,
Standard Class,Corporate,Africa,Office Supplies,2,0.0,0.83,Medium,
Standard Class,Corporate,EMEA,Technology,1,0.6,4.17,Medium,
Second Class,Corporate,Africa,Office Supplies,1,0.7,2.07,Critical,
First Class,Consumer,North Asia,Technology,6,0.0,184.92,High,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,16.58,High,
Second Class,Home Office,Central,Office Supplies,2,0.0,8.6,High,
Standard Class,Corporate,EMEA,Technology,1,0.6,0.97,High,
Standard Class,Consumer,Africa,Office Supplies,6,0.7,8.11,Medium,
Standard Class,Consumer,EMEA,Office Supplies,4,0.6,5.39,High,
First Class,Consumer,North Asia,Office Supplies,3,0.0,10.31,High,
Second Class,Corporate,Africa,Office Supplies,1,0.7,0.25,Critical,
First Class,Consumer,Africa,Office Supplies,2,0.0,22.71,High,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,1.11,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.6,0.81,High,
Standard Class,Consumer,EMEA,Furniture,8,0.6,126.17,High,
Standard Class,Consumer,East,Office Supplies,2,0.2,2.37,High,
Standard Class,Consumer,North Asia,Office Supplies,7,0.0,194.36,High,Yes
Standard Class,Consumer,East,Technology,3,0.0,31.59,High,
Second Class,Home Office,South,Furniture,2,0.4,16.6,Medium,
Second Class,Consumer,North,Technology,4,0.0,150.43,Medium,
First Class,Home Office,North,Office Supplies,2,0.0,2.51,Medium,
First Class,Corporate,North,Office Supplies,4,0.0,41.83,Critical,
Standard Class,Corporate,Central,Office Supplies,5,0.0,10.55,High,
First Class,Consumer,Central,Office Supplies,6,0.2,9.9,High,
Second Class,Corporate,Central,Office Supplies,3,0.0,1.27,Medium,
Standard Class,Corporate,North,Office Supplies,1,0.0,1.54,Medium,
Standard Class,Corporate,Central,Office Supplies,3,0.0,4.64,High,
Standard Class,Home Office,Central,Office Supplies,4,0.0,2.88,Medium,
Standard Class,Consumer,North Asia,Office Supplies,6,0.0,102.29,High,Yes
Standard Class,Consumer,North Asia,Furniture,1,0.0,42.96,High,Yes
First Class,Consumer,Central,Office Supplies,9,0.0,44.76,High,
Second Class,Consumer,West,Office Supplies,3,0.0,1.8,High,Yes
Second Class,Home Office,South,Furniture,1,0.4,15.67,Medium,
Standard Class,Consumer,Oceania,Furniture,2,0.0,15.25,High,
Standard Class,Consumer,North Asia,Technology,6,0.0,92.07,High,Yes
Standard Class,Corporate,North,Office Supplies,3,0.0,11.55,Medium,
Second Class,Corporate,Africa,Office Supplies,4,0.0,1.02,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,2.51,High,
Second Class,Corporate,Canada,Technology,1,0.0,17.43,Medium,
First Class,Consumer,Central,Office Supplies,3,0.8,0.7,High,
Standard Class,Home Office,Central,Office Supplies,2,0.0,7.53,Medium,
First Class,Consumer,Southeast Asia,Office Supplies,3,0.45,3.1,High,
Standard Class,Corporate,Africa,Office Supplies,2,0.0,1.95,High,
Standard Class,Consumer,Africa,Office Supplies,6,0.0,13.17,High,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,5.85,High,
Standard Class,Consumer,EMEA,Office Supplies,2,0.0,14.05,Low,
Standard Class,Consumer,Caribbean,Technology,2,0.002,17.81,High,
Standard Class,Corporate,South,Office Supplies,7,0.4,3.74,Medium,
Standard Class,Home Office,West,Office Supplies,1,0.0,0.63,High,
Standard Class,Consumer,Caribbean,Office Supplies,2,0.0,2.72,High,
Standard Class,Corporate,Africa,Technology,4,0.0,93.04,High,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,0.99,High,
Standard Class,Home Office,West,Office Supplies,5,0.0,0.92,Medium,
Standard Class,Corporate,South,Office Supplies,5,0.2,0.33,Medium,
Standard Class,Consumer,West,Office Supplies,5,0.2,54.44,High,
First Class,Consumer,North Asia,Office Supplies,5,0.5,49.1,Critical,Yes
Standard Class,Consumer,Central,Office Supplies,5,0.0,4.17,Medium,
Same Day,Consumer,Southeast Asia,Office Supplies,3,0.0,12.58,High,
Second Class,Consumer,Canada,Technology,2,0.0,82.29,Medium,
Standard Class,Corporate,South,Office Supplies,2,0.0,8.21,Low,
Standard Class,Consumer,Central,Office Supplies,5,0.1,50.61,Medium,
Standard Class,Corporate,South,Technology,9,0.2,56.8,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,1.94,Medium,
Standard Class,Consumer,West,Technology,4,0.2,235.13,Medium,
Second Class,Consumer,Canada,Technology,1,0.0,26.26,Medium,
First Class,Home Office,EMEA,Office Supplies,12,0.0,67.09,Medium,
Standard Class,Consumer,West,Office Supplies,3,0.2,2.12,Medium,
Standard Class,Corporate,Central,Office Supplies,3,0.2,1.82,Low,
First Class,Consumer,North Asia,Office Supplies,9,0.5,28.34,Critical,Yes
Standard Class,Consumer,East,Office Supplies,3,0.0,2.83,Medium,
Standard Class,Home Office,EMEA,Technology,1,0.6,8.41,High,
First Class,Consumer,North Asia,Office Supplies,4,0.5,83.34,Critical,Yes
First Class,Consumer,North Asia,Office Supplies,4,0.5,30.95,Critical,Yes
Same Day,Consumer,Southeast Asia,Technology,3,0.0,159.19,High,
Second Class,Consumer,North,Technology,5,0.0,144.5,Medium,
First Class,Consumer,North Asia,Office Supplies,2,0.5,11.64,Critical,Yes
Standard Class,Consumer,Central,Office Supplies,2,0.1,6.26,Medium,
Second Class,Corporate,Africa,Technology,6,0.1,37.24,High,
Second Class,Corporate,Africa,Technology,1,0.0,6.08,High,
First Class,Consumer,North,Office Supplies,2,0.0,2.22,High,Yes
Standard Class,Consumer,Africa,Office Supplies,6,0.0,3.24,Medium,
Standard Class,Corporate,North,Furniture,2,0.2,53.93,High,
First Class,Home Office,Central,Office Supplies,7,0.4,2.81,Medium,
Second Class,Home Office,EMEA,Office Supplies,2,0.6,3.98,Medium,
First Class,Home Office,Central,Office Supplies,2,0.4,3.96,Medium,
First Class,Corporate,East,Office Supplies,3,0.7,1.52,Medium,
First Class,Home Office,EMEA,Office Supplies,6,0.0,2.91,Medium,
Standard Class,Corporate,North,Office Supplies,2,0.0,6.4,High,
Standard Class,Consumer,South,Office Supplies,3,0.0,1.51,Medium,
First Class,Consumer,North Asia,Furniture,2,0.2,15.39,Critical,Yes
First Class,Consumer,North Asia,Technology,2,0.5,4.63,Critical,Yes
Standard Class,Consumer,Central,Office Supplies,5,0.0,11.85,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.1,11.42,High,
First Class,Consumer,North Asia,Office Supplies,2,0.5,3.53,Critical,Yes
Standard Class,Consumer,Central,Office Supplies,2,0.1,21.79,Medium,
Standard Class,Corporate,East,Office Supplies,2,0.0,9.65,High,
Standard Class,Consumer,East,Furniture,6,0.0,1.9,Medium,
Standard Class,Consumer,East,Office Supplies,3,0.0,29.73,Medium,
First Class,Consumer,North Asia,Office Supplies,8,0.5,53.65,Critical,Yes
First Class,Corporate,East,Office Supplies,2,0.7,0.1,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.0,4.47,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.6,1.25,High,
Standard Class,Consumer,Central,Technology,3,0.0,9.25,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.0,10.8,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.4,22.04,Medium,
Standard Class,Consumer,South,Office Supplies,10,0.4,63.67,Medium,
First Class,Corporate,East,Furniture,2,0.2,7.45,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.6,0.54,High,
Standard Class,Corporate,EMEA,Office Supplies,2,0.0,1.96,Medium,
Standard Class,Home Office,EMEA,Technology,1,0.6,3.56,High,
Second Class,Consumer,Canada,Office Supplies,1,0.0,15.87,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.6,1.23,High,
First Class,Consumer,North Asia,Office Supplies,5,0.5,46.41,Critical,Yes
First Class,Home Office,Central,Technology,2,0.402,43.66,Medium,
Standard Class,Consumer,Central Asia,Furniture,6,0.0,22.45,High,
Standard Class,Consumer,West,Technology,3,0.2,3.74,High,
Standard Class,Consumer,Central Asia,Office Supplies,5,0.0,16.86,High,
Standard Class,Corporate,South,Office Supplies,3,0.2,1.21,Medium,
Standard Class,Consumer,South,Office Supplies,3,0.0,11.93,Medium,
Standard Class,Consumer,South,Technology,4,0.0,33.89,Medium,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,1.64,Medium,
Standard Class,Home Office,West,Office Supplies,3,0.0,2.77,Medium,
First Class,Home Office,EMEA,Technology,6,0.0,112.63,Medium,
Standard Class,Corporate,South,Office Supplies,3,0.0,0.75,Low,
Same Day,Consumer,Southeast Asia,Office Supplies,2,0.0,6.71,High,
Standard Class,Corporate,South,Office Supplies,12,0.2,3.79,Medium,
Standard Class,Consumer,South,Furniture,4,0.0,51.03,Medium,
Standard Class,Consumer,Caribbean,Furniture,3,0.2,7.72,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.0,1.97,Medium,
Standard Class,Consumer,Central,Office Supplies,1,0.0,0.99,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,4,0.17,1.71,Medium,
Standard Class,Consumer,South,Furniture,1,0.0,1.76,Medium,
Standard Class,Consumer,Central,Technology,3,0.0,5.92,Medium,
Standard Class,Consumer,Central,Office Supplies,1,0.0,0.47,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,4,0.27,3.37,Medium,
Standard Class,Corporate,Oceania,Furniture,4,0.4,86.99,Medium,
Second Class,Consumer,North Asia,Office Supplies,9,0.0,11.04,Medium,
First Class,Corporate,North,Office Supplies,7,0.5,69.75,Critical,
Standard Class,Consumer,Central,Furniture,3,0.0,8.64,Medium,
First Class,Consumer,Central,Furniture,8,0.0,487.15,High,
First Class,Consumer,Central,Office Supplies,4,0.0,8.88,High,
Second Class,Consumer,North Asia,Office Supplies,1,0.0,2.6,Medium,
Standard Class,Consumer,South,Office Supplies,7,0.0,3.25,Medium,
Second Class,Consumer,East,Furniture,6,0.3,133.2,Medium,
Standard Class,Consumer,South,Furniture,7,0.0,12.32,Medium,
Second Class,Consumer,East,Furniture,2,0.2,0.94,Medium,
Second Class,Corporate,Central,Furniture,3,0.3,123.32,Critical,
Standard Class,Corporate,Central,Technology,2,0.4,4.67,Medium,
Standard Class,Home Office,North,Office Supplies,9,0.0,13.58,Medium,
First Class,Consumer,East,Technology,2,0.0,62.54,High,
Same Day,Home Office,Africa,Office Supplies,1,0.0,1.45,High,
Same Day,Home Office,Africa,Office Supplies,1,0.0,8.76,High,
Second Class,Home Office,Africa,Office Supplies,1,0.7,0.5,High,
First Class,Consumer,South,Office Supplies,1,0.0,5.91,Medium,
Standard Class,Consumer,West,Furniture,3,0.0,4.79,Medium,
Standard Class,Consumer,Southeast Asia,Technology,2,0.37,15.22,Medium,
Standard Class,Consumer,Central,Furniture,3,0.0,12.28,Medium,
Second Class,Home Office,South,Office Supplies,2,0.1,15.6,High,
Second Class,Home Office,South,Technology,5,0.0,80.49,High,
First Class,Consumer,East,Furniture,2,0.0,1.27,High,
Standard Class,Consumer,Central,Office Supplies,3,0.0,6.92,Medium,
Second Class,Home Office,Africa,Office Supplies,6,0.7,3.1,High,
First Class,Consumer,Central Asia,Furniture,2,0.0,36.24,Critical,
Standard Class,Consumer,South,Office Supplies,2,0.0,2.25,Medium,
Standard Class,Home Office,Central,Technology,7,0.0,154.61,High,
Second Class,Consumer,East,Technology,2,0.4,60.3,Medium,
Standard Class,Consumer,South,Furniture,5,0.0,35.15,Medium,
First Class,Consumer,East,Furniture,3,0.0,5.84,High,
Second Class,Consumer,East,Office Supplies,7,0.2,1.83,Medium,
Second Class,Consumer,North Asia,Furniture,2,0.0,12.99,Medium,
Standard Class,Consumer,South,Technology,4,0.2,4.68,Medium,
Standard Class,Consumer,Central,Office Supplies,9,0.1,29.72,Medium,
Second Class,Consumer,North Asia,Office Supplies,4,0.0,7.6,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.5,14.53,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.5,0.43,Medium,
Standard Class,Corporate,Oceania,Office Supplies,2,0.1,0.72,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.5,1.29,Medium,
Standard Class,Consumer,North,Technology,1,0.0,31.78,High,
Standard Class,Home Office,South,Office Supplies,5,0.4,2.2,High,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,76.6,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.5,1.51,Medium,
Standard Class,Consumer,Africa,Office Supplies,2,0.0,2.66,Medium,
Standard Class,Consumer,Africa,Technology,4,0.0,55.62,Medium,
Standard Class,Consumer,North,Office Supplies,5,0.5,2.16,Medium,
Standard Class,Home Office,Central,Office Supplies,11,0.0,30.34,High,
Second Class,Corporate,South,Office Supplies,6,0.0,146.29,Critical,
Standard Class,Consumer,EMEA,Office Supplies,4,0.6,0.43,Medium,
Standard Class,Corporate,Central,Office Supplies,8,0.0,3.61,Medium,
Second Class,Consumer,South,Furniture,6,0.0,52.32,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.6,5.84,Medium,
Standard Class,Home Office,Central,Technology,3,0.0,53.02,High,
Standard Class,Consumer,EMEA,Office Supplies,2,0.6,11.53,Medium,
Standard Class,Consumer,EMEA,Office Supplies,4,0.6,4.48,Medium,
Standard Class,Consumer,East,Office Supplies,7,0.2,1.46,Medium,
Standard Class,Consumer,West,Office Supplies,5,0.0,187.65,High,
Standard Class,Corporate,Southeast Asia,Office Supplies,3,0.45,9.43,Low,
Standard Class,Corporate,Central,Furniture,3,0.0,27.67,Medium,
Standard Class,Consumer,West,Furniture,3,0.15,40.44,High,
Standard Class,Home Office,Africa,Office Supplies,12,0.0,23.89,Low,
Second Class,Corporate,South,Office Supplies,3,0.0,12.66,Critical,
Standard Class,Corporate,Central,Office Supplies,3,0.0,6.11,Medium,
Standard Class,Consumer,East,Office Supplies,2,0.7,0.27,Medium,
Standard Class,Corporate,Southeast Asia,Furniture,3,0.25,9.71,Low,
Second Class,Corporate,South,Technology,6,0.0,141.35,Critical,
Standard Class,Consumer,West,Office Supplies,5,0.0,3.03,High,
First Class,Consumer,North,Office Supplies,4,0.0,26.23,High,
Standard Class,Corporate,Central,Office Supplies,12,0.0,11.88,Medium,
Second Class,Corporate,South,Office Supplies,3,0.0,0.85,Critical,
Standard Class,Home Office,Central,Technology,6,0.0,49.92,High,
Second Class,Corporate,South,Office Supplies,2,0.0,2.88,Critical,
Same Day,Consumer,Southeast Asia,Office Supplies,3,0.27,21.13,Critical,
Standard Class,Consumer,Africa,Office Supplies,2,0.7,1.02,Medium,
Second Class,Corporate,Central,Office Supplies,2,0.0,4.12,Medium,
First Class,Corporate,East,Furniture,4,0.5,10.96,High,
Same Day,Consumer,Southeast Asia,Office Supplies,4,0.27,21.15,Critical,
Second Class,Corporate,Central,Office Supplies,1,0.1,15.08,Medium,
Second Class,Corporate,Central,Office Supplies,2,0.0,0.76,Medium,
Standard Class,Consumer,Africa,Furniture,1,0.7,3.43,Medium,
Second Class,Corporate,Central,Technology,2,0.0,92.1,Medium,
First Class,Home Office,Caribbean,Furniture,3,0.2,43.56,Medium,
Standard Class,Consumer,Africa,Office Supplies,6,0.7,1.46,Medium,
Second Class,Corporate,Central,Office Supplies,5,0.0,8.42,Medium,
First Class,Home Office,Central,Furniture,2,0.1,88.52,Medium,
First Class,Consumer,South,Technology,5,0.0,45.24,Critical,
